home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Serbia,France,1.0,1.0,draw,1949-01-01,qualification,Belgrade,,1950-BRAZIL
Finland,Ireland,1.0,1.0,draw,1949-01-01,qualification,Helsinki,,1950-BRAZIL
Wales,England,1.0,4.0,England,1949-01-01,qualification,Cardiff,,1950-BRAZIL
France,Serbia,1.0,1.0,draw,1949-01-01,qualification,Paris,,1950-BRAZIL
Scotland,Wales,2.0,0.0,Scotland,1949-01-01,qualification,Glasgow,,1950-BRAZIL
Ireland,Sweden,1.0,3.0,Sweden,1949-01-01,qualification,Dublin,,1950-BRAZIL
England,Northern Ireland,9.0,2.0,England,1949-01-01,qualification,Manchester,,1950-BRAZIL
Turkey,Syria,7.0,0.0,Turkey,1949-01-01,qualification,Ankara,,1950-BRAZIL
Serbia,France,3.0,2.0,Serbia,1949-01-01,qualification,Florence,,1950-BRAZIL
Bolivia,Chile,2.0,0.0,Bolivia,1950-01-01,qualification,La_Paz,,1950-BRAZIL
Wales,Northern Ireland,0.0,0.0,draw,1950-01-01,qualification,Wrexham,,1950-BRAZIL
Spain,Portugal,5.0,1.0,Spain,1950-01-01,qualification,Madrid,,1950-BRAZIL
Portugal,Spain,2.0,2.0,draw,1950-01-01,qualification,Lisboa,,1950-BRAZIL
Scotland,England,0.0,1.0,England,1950-01-01,qualification,Glasgow,,1950-BRAZIL
Brazil,Mexico,4.0,0.0,Brazil,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
England,Chile,2.0,0.0,England,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Spain,United States,3.0,1.0,Spain,1950-01-01,group_stage,Curitiba,,1950-BRAZIL
Sweden,Italy,3.0,2.0,Sweden,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Serbia,Switzerland,3.0,0.0,Serbia,1950-01-01,group_stage,Belo Horizonte,,1950-BRAZIL
Brazil,Switzerland,2.0,2.0,draw,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Serbia,Mexico,4.0,1.0,Serbia,1950-01-01,group_stage,Porto_Alegre,,1950-BRAZIL
Spain,Chile,2.0,0.0,Spain,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Sweden,Paraguay,2.0,2.0,draw,1950-01-01,group_stage,Curitiba,,1950-BRAZIL
United States,England,1.0,0.0,United States,1950-01-01,group_stage,Belo Horizonte,,1950-BRAZIL
Brazil,Serbia,2.0,0.0,Brazil,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Spain,England,1.0,0.0,Spain,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Italy,Paraguay,2.0,0.0,Italy,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Uruguay,Bolivia,8.0,0.0,Uruguay,1950-01-01,group_stage,Belo Horizonte,,1950-BRAZIL
Switzerland,Mexico,2.0,1.0,Switzerland,1950-01-01,group_stage,Porto_Alegre,,1950-BRAZIL
Chile,United States,5.0,2.0,Chile,1950-01-01,group_stage,Recife,,1950-BRAZIL
Brazil,Sweden,7.0,1.0,Brazil,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Uruguay,Spain,2.0,2.0,draw,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Uruguay,Sweden,3.0,2.0,Uruguay,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Brazil,Spain,6.0,1.0,Brazil,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Sweden,Spain,3.0,1.0,Sweden,1950-01-01,group_stage,Sao_Paulo,,1950-BRAZIL
Uruguay,Brazil,2.0,1.0,Uruguay,1950-01-01,group_stage,Rio de Janeiro,,1950-BRAZIL
Serbia,Greece,1.0,0.0,Serbia,1953-01-01,qualification,Belgrade,,1954-SWITZERLAND
Finland,Belgium,2.0,4.0,Belgium,1953-01-01,qualification,Helsinki,,1954-SWITZERLAND
Sweden,Belgium,2.0,3.0,Belgium,1953-01-01,qualification,Stockholm,,1954-SWITZERLAND
Czech Republic,Romania,2.0,0.0,Czech Republic,1953-01-01,qualification,Prague,,1954-SWITZERLAND
Norway,Germany,2.0,3.0,Germany,1953-01-01,qualification,Oslo,,1954-SWITZERLAND
Romania,Bulgaria,3.0,1.0,Romania,1953-01-01,qualification,Bucuresti,,1954-SWITZERLAND
Mexico,Haiti,8.0,0.0,Mexico,1953-01-01,qualification,Mexico DF,,1954-SWITZERLAND
Finland,Sweden,3.0,3.0,draw,1953-01-01,qualification,Helsinki,,1954-SWITZERLAND
Sweden,Finland,4.0,0.0,Sweden,1953-01-01,qualification,Stockholm,,1954-SWITZERLAND
Norway,Germany,1.0,1.0,draw,1953-01-01,qualification,Oslo,,1954-SWITZERLAND
Bulgaria,Czech Republic,1.0,2.0,Czech Republic,1953-01-01,qualification,Sofija,,1954-SWITZERLAND
Luxembourg,France,1.0,6.0,France,1953-01-01,qualification,Luxembourg,,1954-SWITZERLAND
Belgium,Finland,2.0,2.0,draw,1953-01-01,qualification,Bruxelles,,1954-SWITZERLAND
Austria,Portugal,9.0,1.0,Austria,1953-01-01,qualification,Vienna,,1954-SWITZERLAND
Northern Ireland,Scotland,1.0,3.0,Scotland,1953-01-01,qualification,Belfast,,1954-SWITZERLAND
Ireland,France,3.0,5.0,France,1953-01-01,qualification,Dublin,,1954-SWITZERLAND
Belgium,Sweden,2.0,0.0,Belgium,1953-01-01,qualification,Bruxelles,,1954-SWITZERLAND
Wales,England,1.0,4.0,England,1953-01-01,qualification,Cardiff,,1954-SWITZERLAND
Germany,Germany,3.0,0.0,Germany,1953-01-01,qualification,Stuttgart,,1954-SWITZERLAND
Bulgaria,Romania,1.0,2.0,Romania,1953-01-01,qualification,Sofija,,1954-SWITZERLAND
Romania,Czech Republic,0.0,1.0,Czech Republic,1953-01-01,qualification,Bucuresti,,1954-SWITZERLAND
Ireland,Luxembourg,4.0,0.0,Ireland,1953-01-01,qualification,Dublin,,1954-SWITZERLAND
Greece,Israel,1.0,0.0,Greece,1953-01-01,qualification,Athina,,1954-SWITZERLAND
Scotland,Wales,3.0,3.0,draw,1953-01-01,qualification,Glasgow,,1954-SWITZERLAND
Germany,Norway,0.0,0.0,draw,1953-01-01,qualification,Saarbrucken,,1954-SWITZERLAND
Czech Republic,Bulgaria,0.0,0.0,draw,1953-01-01,qualification,Bratislava,,1954-SWITZERLAND
Serbia,Israel,1.0,0.0,Serbia,1953-01-01,qualification,Skopje,,1954-SWITZERLAND
England,Northern Ireland,3.0,1.0,England,1953-01-01,qualification,Liverpool,,1954-SWITZERLAND
Egypt,Italy,1.0,2.0,Italy,1953-01-01,qualification,Cairo,,1954-SWITZERLAND
Germany,Norway,5.0,1.0,Germany,1953-01-01,qualification,Hamburg,,1954-SWITZERLAND
France,Ireland,1.0,0.0,France,1953-01-01,qualification,Paris,,1954-SWITZERLAND
Portugal,Austria,0.0,0.0,draw,1953-01-01,qualification,Lisboa,,1954-SWITZERLAND
France,Luxembourg,8.0,0.0,France,1953-01-01,qualification,Paris,,1954-SWITZERLAND
Haiti,Mexico,0.0,4.0,Mexico,1953-01-01,qualification,Port-au-Prince,,1954-SWITZERLAND
Spain,Turkey,4.0,1.0,Spain,1954-01-01,qualification,Madrid,,1954-SWITZERLAND
United States,Mexico,0.0,4.0,Mexico,1954-01-01,qualification,Mexico DF,,1954-SWITZERLAND
Mexico,United States,3.0,1.0,Mexico,1954-01-01,qualification,Mexico DF,,1954-SWITZERLAND
Italy,Egypt,5.0,1.0,Italy,1954-01-01,qualification,Milan,,1954-SWITZERLAND
Paraguay,Chile,4.0,0.0,Paraguay,1954-01-01,qualification,Asuncion,,1954-SWITZERLAND
Chile,Paraguay,1.0,3.0,Paraguay,1954-01-01,qualification,Santiago,,1954-SWITZERLAND
Chile,Brazil,0.0,2.0,Brazil,1954-01-01,qualification,Santiago,,1954-SWITZERLAND
Luxembourg,Ireland,0.0,1.0,Ireland,1954-01-01,qualification,Luxembourg,,1954-SWITZERLAND
Paraguay,Brazil,0.0,1.0,Brazil,1954-01-01,qualification,Asuncion,,1954-SWITZERLAND
Japan,South Korea,1.0,5.0,South Korea,1954-01-01,qualification,Tokyo,,1954-SWITZERLAND
Israel,Greece,0.0,2.0,Greece,1954-01-01,qualification,Tel Aviv,,1954-SWITZERLAND
Turkey,Spain,1.0,0.0,Turkey,1954-01-01,qualification,Istanbul,,1954-SWITZERLAND
Brazil,Chile,1.0,0.0,Brazil,1954-01-01,qualification,Rio de Janeiro,,1954-SWITZERLAND
South Korea,Japan,2.0,2.0,draw,1954-01-01,qualification,Tokyo,,1954-SWITZERLAND
Turkey,Spain,2.0,2.0,draw,1954-01-01,qualification,Roma,,1954-SWITZERLAND
Israel,Serbia,0.0,1.0,Serbia,1954-01-01,qualification,Tel Aviv,,1954-SWITZERLAND
Brazil,Paraguay,4.0,1.0,Brazil,1954-01-01,qualification,Rio de Janeiro,,1954-SWITZERLAND
Germany,Germany,1.0,3.0,Germany,1954-01-01,qualification,Saarbrucken,,1954-SWITZERLAND
Greece,Serbia,0.0,1.0,Serbia,1954-01-01,qualification,Athina,,1954-SWITZERLAND
Wales,Northern Ireland,1.0,2.0,Northern Ireland,1954-01-01,qualification,Wrexham,,1954-SWITZERLAND
Scotland,England,2.0,4.0,England,1954-01-01,qualification,Glasgow,,1954-SWITZERLAND
Haiti,United States,2.0,3.0,United States,1954-01-01,qualification,Port-au-Prince,,1954-SWITZERLAND
United States,Haiti,3.0,0.0,United States,1954-01-01,qualification,Port-au-Prince,,1954-SWITZERLAND
Serbia,France,1.0,0.0,Serbia,1954-01-01,group_stage,Lausanne,,1954-SWITZERLAND
Brazil,Mexico,5.0,0.0,Brazil,1954-01-01,group_stage,Geneva,,1954-SWITZERLAND
Austria,Scotland,1.0,0.0,Austria,1954-01-01,group_stage,Zurich,,1954-SWITZERLAND
Uruguay,Czech Republic,2.0,0.0,Uruguay,1954-01-01,group_stage,Bern,,1954-SWITZERLAND
Switzerland,Italy,2.0,1.0,Switzerland,1954-01-01,group_stage,Lausanne,,1954-SWITZERLAND
Hungary,South Korea,9.0,0.0,Hungary,1954-01-01,group_stage,Zurich,,1954-SWITZERLAND
Germany,Turkey,4.0,1.0,Germany,1954-01-01,group_stage,Bern,,1954-SWITZERLAND
England,Belgium,4.0,4.0,draw,1954-01-01,group_stage,Basel,,1954-SWITZERLAND
Uruguay,Scotland,7.0,0.0,Uruguay,1954-01-01,group_stage,Basel,,1954-SWITZERLAND
Brazil,Serbia,1.0,1.0,draw,1954-01-01,group_stage,Lausanne,,1954-SWITZERLAND
Austria,Czech Republic,5.0,0.0,Austria,1954-01-01,group_stage,Zurich,,1954-SWITZERLAND
France,Mexico,3.0,2.0,France,1954-01-01,group_stage,Geneva,,1954-SWITZERLAND
Hungary,Germany,8.0,3.0,Hungary,1954-01-01,group_stage,Basel,,1954-SWITZERLAND
Turkey,South Korea,7.0,0.0,Turkey,1954-01-01,group_stage,Geneva,,1954-SWITZERLAND
Italy,Belgium,4.0,1.0,Italy,1954-01-01,group_stage,Lugano,,1954-SWITZERLAND
England,Switzerland,2.0,0.0,England,1954-01-01,group_stage,Bern,,1954-SWITZERLAND
Germany,Turkey,7.0,2.0,Germany,1954-01-01,group_stage,Zurich,,1954-SWITZERLAND
Switzerland,Italy,4.0,1.0,Switzerland,1954-01-01,group_stage,Basel,,1954-SWITZERLAND
Uruguay,England,4.0,2.0,Uruguay,1954-01-01,quarter_final,Basel,,1954-SWITZERLAND
Austria,Switzerland,7.0,5.0,Austria,1954-01-01,quarter_final,Lausanne,,1954-SWITZERLAND
Hungary,Brazil,4.0,2.0,Hungary,1954-01-01,quarter_final,Bern,,1954-SWITZERLAND
Germany,Serbia,2.0,0.0,Germany,1954-01-01,quarter_final,Geneva,,1954-SWITZERLAND
Hungary,Uruguay,4.0,2.0,Hungary,1954-01-01,semi_final,Lausanne,,1954-SWITZERLAND
Germany,Austria,6.0,1.0,Germany,1954-01-01,semi_final,Basel,,1954-SWITZERLAND
Austria,Uruguay,3.0,1.0,Austria,1954-01-01,third_place,Zurich,,1954-SWITZERLAND
Germany,Hungary,3.0,2.0,Germany,1954-01-01,final,Bern,,1954-SWITZERLAND
Austria,Luxembourg,7.0,0.0,Austria,1956-01-01,qualification,Vienna,,1958-SWEDEN
Ireland,Denmark,2.0,1.0,Ireland,1956-01-01,qualification,Dublin,,1958-SWEDEN
France,Belgium,6.0,3.0,France,1956-01-01,qualification,Paris,,1958-SWEDEN
